Latitude,Longitude,Elevation
42.64491000,-87.8633700,202.0
42.64504000,-87.8633200,202.0
42.64520000,-87.8629600,205.0
42.64547000,-87.8625200,206.0
42.64565000,-87.8622900,206.0
42.64588000,-87.8621900,205.0
42.64611000,-87.8621200,204.0
42.64629000,-87.8619000,202.0
42.64645000,-87.8616900,200.0
42.64662000,-87.8614300,198.0
42.64679000,-87.8612100,197.0
42.64698000,-87.8609800,196.0
42.64719000,-87.8607700,196.0
42.64738000,-87.8605900,195.0
42.64760000,-87.8604700,195.0
42.64784000,-87.8604700,197.0
42.64810000,-87.8605200,198.0
42.64834000,-87.8605700,198.0
42.64856000,-87.8606500,198.0
42.64880000,-87.8606700,199.0
42.64904000,-87.8606700,199.0
42.64911000,-87.8606700,199.0
42.64929000,-87.8607100,199.0
42.64952000,-87.8606500,198.0
42.64968000,-87.8603500,197.0
42.64988000,-87.8600400,196.0
42.65005000,-87.8598300,197.0
42.65029000,-87.8596600,197.0
42.65051000,-87.8594000,198.0
42.65066000,-87.8591700,199.0
42.65084000,-87.8589000,198.0
42.65102000,-87.8586700,197.0
42.65119000,-87.8584300,196.0
42.65130000,-87.8582300,195.0
42.65135000,-87.8578800,195.0
42.65140000,-87.8575400,195.0
42.65145000,-87.8572200,197.0
42.65145000,-87.8568900,196.0
42.65137000,-87.8565700,195.0
42.65124000,-87.8561900,195.0
42.65113000,-87.8559100,195.0
42.65091000,-87.8555400,196.0
42.65077000,-87.8552800,195.0
42.65069000,-87.8549600,194.0
42.65056000,-87.8545800,194.0
42.65042000,-87.8543000,194.0
42.65028000,-87.8540400,194.0
42.65022000,-87.8537200,194.0
42.65025000,-87.8533500,194.0
42.65030000,-87.8530300,195.0
42.65039000,-87.8526900,195.0
42.65052000,-87.8523200,194.0
42.65064000,-87.8520700,193.0
42.65083000,-87.8517400,192.0
42.65101000,-87.8515300,191.0
42.65121000,-87.8513100,191.0
42.65140000,-87.8510600,189.0
42.65167000,-87.8507800,189.0
42.65187000,-87.8506300,189.0
42.65214000,-87.8505200,191.0
42.65238000,-87.8504300,192.0
42.65262000,-87.8505000,191.0
42.65287000,-87.8505400,191.0
42.65314000,-87.8506300,190.0
42.65336000,-87.8507600,191.0
42.65358000,-87.8508600,191.0
42.65381000,-87.8508400,193.0
42.65388000,-87.8505000,191.0
42.65389000,-87.8500900,192.0
42.65383000,-87.8497900,194.0
42.65361000,-87.8497100,195.0
42.65337000,-87.8497100,195.0
42.65314000,-87.8497300,194.0
42.65290000,-87.8497500,194.0
42.65265000,-87.8497500,194.0
42.65239000,-87.8497500,194.0
42.65216000,-87.8497900,194.0
42.65192000,-87.8498100,193.0
42.65172000,-87.8499400,193.0
42.65153000,-87.8501800,192.0
42.65138000,-87.8504600,191.0
42.65123000,-87.8507400,192.0
42.65105000,-87.8509500,193.0
42.65086000,-87.8511400,194.0
42.65064000,-87.8512700,193.0
42.65044000,-87.8514400,192.0
42.65025000,-87.8516400,192.0
42.65012000,-87.8519200,193.0
42.65009000,-87.8522400,195.0
42.65006000,-87.8525600,196.0
42.64998000,-87.8530300,196.0
42.64995000,-87.8533500,197.0
42.64985000,-87.8536300,197.0
42.64982000,-87.8539500,198.0
42.64992000,-87.8542300,197.0
42.64996000,-87.8545300,197.0
42.64998000,-87.8548600,198.0
42.65004000,-87.8551600,197.0
42.65017000,-87.8554600,197.0
42.65033000,-87.8556900,198.0
42.65055000,-87.8558000,198.0
42.65074000,-87.8559700,198.0
42.65086000,-87.8562500,197.0
42.65101000,-87.8565100,197.0
42.65119000,-87.8566800,197.0
42.65132000,-87.8569400,197.0
42.65131000,-87.8572800,196.0
42.65121000,-87.8576000,195.0
42.65112000,-87.8578800,195.0
42.65093000,-87.8581200,197.0
42.65074000,-87.8582900,199.0
42.65055000,-87.8584600,201.0
42.65037000,-87.8586700,201.0
42.65017000,-87.8588000,200.0
42.64993000,-87.8588200,200.0
42.64970000,-87.8588900,200.0
42.64947000,-87.8589500,199.0
42.64924000,-87.8589500,200.0
42.64900000,-87.8590000,200.0
42.64872000,-87.8591500,199.0
42.64848000,-87.8592500,198.0
42.64821000,-87.8593800,198.0
42.64793000,-87.8595100,200.0
42.64772000,-87.8597500,200.0
42.64753000,-87.8599400,198.0
42.64738000,-87.8601800,196.0
42.64720000,-87.8603900,196.0
42.64701000,-87.8605800,196.0
42.64682000,-87.8607600,197.0
42.64667000,-87.8610300,198.0
42.64657000,-87.8613600,199.0
42.64646000,-87.8616600,200.0
42.64627000,-87.8619100,202.0
42.64596000,-87.8622400,204.0
42.64578000,-87.8624500,205.0
42.64554000,-87.8627300,205.0
42.64539000,-87.8629700,204.0
42.64520000,-87.8631600,203.0
42.64499000,-87.8633100,203.0
42.64491000,-87.8633700,202.0
